Código,uf,UF,NO_MUNICIPIO,transferencia,gasto_maquina,receita_tributo,distancia_capital,taxa_hom,populacao,pib,pib_perc,IDEB,latitude,longitude,vap,porcentagem,partido,id
1100015,RONDÔNIA,RO,Alta Floresta D'Oeste,32020745.77,40108091.41,2531193.59,413.9570847224,34.87,22516.0,282017.572269728,12.525207508870492,4.8,-11.9283,-61.9953,9034,65.86,PL,1100015
1100023,RONDÔNIA,RO,Ariquemes,152060598.47,168034055.25,30844675.21,158.7687099335,35.23,111148.0,1467379.1086495,13.202028904249287,4.7,-9.90571,-63.0325,36941,73.52,PL,1100023
1100031,RONDÔNIA,RO,Cabixi,7929552.16,14219786.94,760492.85,639.0170404594,0.0,5067.0,79638.2494564771,15.717041534730038,5.1,-13.4945,-60.552,2206,62.76,PL,1100031
1100049,RONDÔNIA,RO,Cacoal,82133971.58,124045566.75,30270773.04,400.2047759647,24.6,86416.0,1286328.09961267,14.885300171411195,5.7,-11.4343,-61.4562,34681,69.55,PL,1100049
1100056,RONDÔNIA,RO,Cerejeiras,20470845.43,27056468.98,3878426.7,594.9690199076,18.38,16088.0,288405.098683934,17.926721698404652,5.7,-13.187,-60.8168,7323,74.73,PL,1100056
1100064,RONDÔNIA,RO,Colorado do Oeste,22133440.16,28004399.2,2329640.75,605.904249805,18.89,15213.0,190533.620428262,12.52439495354381,5.9,-13.1174,-60.5454,6620,68.2,PL,1100064
1100072,RONDÔNIA,RO,Corumbiara,2141347.39,17012115.26,882541.67,569.8057813644,13.53,7052.0,198725.138016394,28.179968521893645,5.6,-12.9551,-60.8947,2493,58.1,PL,1100072
1100080,RONDÔNIA,RO,Costa Marques,21238135.56,22380276.81,1361641.97,408.9284722563,16.37,19255.0,135861.615783205,7.055913569628928,4.7,-12.4367,-64.228,3883,57.56,PL,1100080
1100098,RONDÔNIA,RO,Espigão D'Oeste,33216197.28,41546514.97,3467725.52,440.2059301475,21.62,33009.0,355494.587621631,10.769626090509588,5.4,-11.5266,-61.0252,12531,70.56,PL,1100098
1100106,RONDÔNIA,RO,Guajará-Mirim,50227871.46,70919409.03,3717159.85,273.4405751906,23.82,46930.0,508059.184765016,10.825893559876754,4.8,-10.7889,-65.3296,12157,59.14,PL,1100106
1100114,RONDÔNIA,RO,Jaru,62263573.48,82429073.29,9516090.29,243.5252119201,19.31,51469.0,854020.780877043,16.592915752725776,5.4,-10.4318,-62.4788,20725,70.98,PL,1100114
